id,Law,Article,split,target
Ley 105 de 1958__20,Ley 105 de 1958,20,train,Relevance
Ley 105 de 1958__5,Ley 105 de 1958,5,train,Relevance
Ley 47 de 1981__66,Ley 47 de 1981,66,train,Relevance
Ley 47 de 1981__49,Ley 47 de 1981,49,train,Relevance
Ley 47 de 1981__38,Ley 47 de 1981,38,train,Relevance
Ley 109 de 1985__41,Ley 109 de 1985,41,train,Relevance
Ley 109 de 1985__26,Ley 109 de 1985,26,train,Relevance
Ley 47 de 1981__55,Ley 47 de 1981,55,train,Relevance
Ley 105 de 1958__10,Ley 105 de 1958,10,train,Relevance
Ley 47 de 1981__29,Ley 47 de 1981,29,train,Relevance
Ley 47 de 1981__5,Ley 47 de 1981,5,train,Relevance
Ley 105 de 1958__13,Ley 105 de 1958,13,train,Relevance
Ley 47 de 1981__17,Ley 47 de 1981,17,train,Relevance
Ley 105 de 1958__27,Ley 105 de 1958,27,train,Relevance
Ley 105 de 1958__16,Ley 105 de 1958,16,train,Relevance
Ley 47 de 1981__36,Ley 47 de 1981,36,train,Relevance
Ley 109 de 1985__8,Ley 109 de 1985,8,train,Relevance
Ley 47 de 1981__15,Ley 47 de 1981,15,train,Relevance
Ley 47 de 1981__70,Ley 47 de 1981,70,train,Relevance
Ley 105 de 1958__37,Ley 105 de 1958,37,train,Relevance
Ley 109 de 1985__20,Ley 109 de 1985,20,train,Relevance
Ley 47 de 1981__20,Ley 47 de 1981,20,train,Relevance
Ley 105 de 1958__34,Ley 105 de 1958,34,train,Relevance
Ley 105 de 1958__32,Ley 105 de 1958,32,train,Relevance
Ley 1004 de 2005__8,Ley 1004 de 2005,8,train,Relevance
Ley 47 de 1981__24,Ley 47 de 1981,24,train,Relevance
Ley 105 de 1958__17,Ley 105 de 1958,17,train,Relevance
Ley 109 de 1985__15,Ley 109 de 1985,15,train,Relevance
Ley 47 de 1981__71,Ley 47 de 1981,71,train,Relevance
Ley 1004 de 2005__1,Ley 1004 de 2005,1,train,Relevance
Ley 47 de 1981__27,Ley 47 de 1981,27,train,Relevance
Ley 109 de 1985__11,Ley 109 de 1985,11,train,Relevance
Ley 109 de 1985__7,Ley 109 de 1985,7,train,Relevance
Ley 47 de 1981__59,Ley 47 de 1981,59,train,Relevance
Ley 47 de 1981__56,Ley 47 de 1981,56,train,Relevance
Ley 105 de 1958__38,Ley 105 de 1958,38,train,Relevance
Ley 109 de 1985__5,Ley 109 de 1985,5,train,Relevance
Ley 109 de 1985__28,Ley 109 de 1985,28,train,Relevance
Ley 1004 de 2005__11,Ley 1004 de 2005,11,train,Relevance
Ley 47 de 1981__31,Ley 47 de 1981,31,train,Relevance
Ley 47 de 1981__58,Ley 47 de 1981,58,train,Relevance
Ley 47 de 1981__57,Ley 47 de 1981,57,train,Relevance
Ley 47 de 1981__44,Ley 47 de 1981,44,train,Relevance
Ley 47 de 1981__65,Ley 47 de 1981,65,train,Relevance
Ley 109 de 1985__35,Ley 109 de 1985,35,train,Relevance
Ley 105 de 1958__24,Ley 105 de 1958,24,train,Relevance
Ley 105 de 1958__35,Ley 105 de 1958,35,train,Relevance
Ley 47 de 1981__25,Ley 47 de 1981,25,train,Relevance
Ley 47 de 1981__46,Ley 47 de 1981,46,train,Relevance
Ley 47 de 1981__33,Ley 47 de 1981,33,train,Relevance
Ley 47 de 1981__76,Ley 47 de 1981,76,train,Relevance
Ley 47 de 1981__22,Ley 47 de 1981,22,train,Relevance
Ley 105 de 1958__15,Ley 105 de 1958,15,train,Relevance
Ley 47 de 1981__39,Ley 47 de 1981,39,train,Relevance
Ley 109 de 1985__40,Ley 109 de 1985,40,train,Relevance
Ley 47 de 1981__26,Ley 47 de 1981,26,train,Relevance
Ley 47 de 1981__28,Ley 47 de 1981,28,train,Relevance
