Law,Article,target,target_value,color_group,umap_x,umap_y
Ley 109 de 1985,16,Relevance,1,color(1),4.9017963,7.2358274
Ley 1004 de 2005,3,Relevance,1,color(1),6.5712767,6.6265984
Ley 1004 de 2005,7,Relevance,1,color(1),3.826446,7.8166
Ley 1004 de 2005,8,Relevance,1,color(1),2.662262,7.5450516
Ley 105 de 1958,3,Relevance,0,gray(0),6.267308,5.6041822
Ley 105 de 1958,17,Relevance,0,gray(0),2.2688692,6.6536655
Ley 105 de 1958,21,Relevance,0,gray(0),6.5928183,6.6322913
Ley 105 de 1958,30,Relevance,1,color(1),6.0018544,7.515271
Ley 105 de 1958,34,Relevance,1,color(1),5.5665517,7.6161494
Ley 47 de 1981,6,Relevance,0,gray(0),5.4378786,5.834909
Ley 47 de 1981,8,Relevance,0,gray(0),3.1020024,4.456535
Ley 47 de 1981,26,Relevance,1,color(1),5.876003,6.6958213
Ley 47 de 1981,27,Relevance,1,color(1),5.0304165,7.815678
Ley 47 de 1981,34,Relevance,1,color(1),5.674386,8.144823
Ley 47 de 1981,39,Relevance,1,color(1),5.407549,8.149581
Ley 47 de 1981,45,Relevance,1,color(1),4.012611,3.9845784
Ley 47 de 1981,48,Relevance,1,color(1),5.3461547,4.307919
Ley 47 de 1981,61,Relevance,1,color(1),4.1161547,4.111014
Ley 47 de 1981,69,Relevance,0,gray(0),4.3421273,5.578589
Ley 47 de 1981,74,Relevance,0,gray(0),4.970199,4.4066234
Ley 109 de 1985,8,Relevance,1,color(1),4.5381227,5.8643193
Ley 109 de 1985,9,Relevance,1,color(1),1.7123109,6.585607
Ley 109 de 1985,14,Relevance,0,gray(0),4.323407,4.5930285
Ley 109 de 1985,22,Relevance,1,color(1),2.1393526,6.29583
Ley 109 de 1985,26,Relevance,0,gray(0),1.6080948,6.005498
Ley 109 de 1985,28,Relevance,0,gray(0),4.8872523,4.6644764
Ley 109 de 1985,35,Relevance,0,gray(0),6.0927086,6.172556
Ley 109 de 1985,39,Relevance,1,color(1),5.229068,5.093038
Ley 1004 de 2005,1,Relevance,1,color(1),5.29102,7.2748766
Ley 1004 de 2005,2,Relevance,0,gray(0),5.6997757,4.724359
Ley 1004 de 2005,9,Relevance,1,color(1),3.6295815,7.7122893
Ley 105 de 1958,1,Relevance,0,gray(0),1.9173719,6.437555
Ley 105 de 1958,2,Relevance,0,gray(0),6.193125,5.511243
Ley 105 de 1958,9,Relevance,0,gray(0),2.033476,5.8734674
Ley 105 de 1958,10,Relevance,0,gray(0),2.6479409,5.263191
Ley 105 de 1958,18,Relevance,0,gray(0),3.340547,5.684335
Ley 105 de 1958,28,Relevance,1,color(1),3.9773602,7.354228
Ley 105 de 1958,31,Relevance,1,color(1),5.7964816,6.511912
Ley 105 de 1958,32,Relevance,1,color(1),4.527193,6.72381
Ley 105 de 1958,33,Relevance,1,color(1),4.5158978,6.354944
Ley 47 de 1981,2,Relevance,1,color(1),5.824207,4.710261
Ley 47 de 1981,7,Relevance,0,gray(0),4.7934623,7.7665668
Ley 47 de 1981,10,Relevance,0,gray(0),2.606993,5.5433793
Ley 47 de 1981,11,Relevance,0,gray(0),2.7568626,4.8353405
Ley 47 de 1981,15,Relevance,0,gray(0),1.9009099,5.1409087
Ley 47 de 1981,16,Relevance,0,gray(0),2.5840733,6.8062854
Ley 47 de 1981,19,Relevance,0,gray(0),6.462855,6.4774933
Ley 47 de 1981,30,Relevance,1,color(1),5.6060505,8.468944
Ley 47 de 1981,31,Relevance,1,color(1),5.569501,6.1629186
Ley 47 de 1981,46,Relevance,0,gray(0),2.1037414,5.6455903
Ley 47 de 1981,49,Relevance,0,gray(0),4.2000966,3.5211952
Ley 47 de 1981,51,Relevance,0,gray(0),4.4337497,3.702082
Ley 47 de 1981,52,Relevance,0,gray(0),1.9361866,6.0065737
Ley 47 de 1981,54,Relevance,0,gray(0),4.289449,3.444291
Ley 47 de 1981,55,Relevance,0,gray(0),4.0929995,3.7947137
Ley 47 de 1981,56,Relevance,1,color(1),5.38775,4.9853077
Ley 47 de 1981,58,Relevance,0,gray(0),4.2918706,3.6728508
Ley 47 de 1981,60,Relevance,1,color(1),5.5923176,7.8455057
Ley 47 de 1981,68,Relevance,0,gray(0),4.030289,6.091046
Ley 47 de 1981,70,Relevance,0,gray(0),6.0790462,6.436895
Ley 47 de 1981,73,Relevance,0,gray(0),2.7108564,5.640467
Ley 109 de 1985,5,Relevance,0,gray(0),5.9877124,5.2784367
Ley 109 de 1985,6,Relevance,0,gray(0),5.8850517,5.059792
Ley 109 de 1985,10,Relevance,1,color(1),4.2971983,5.660659
Ley 109 de 1985,11,Relevance,1,color(1),4.1516376,4.7392087
Ley 109 de 1985,21,Relevance,0,gray(0),2.0179827,6.2772503
Ley 109 de 1985,30,Relevance,0,gray(0),6.412586,5.646354
Ley 109 de 1985,32,Relevance,0,gray(0),3.5836806,4.7193127
Ley 109 de 1985,33,Relevance,0,gray(0),6.46024,6.267152
Ley 1004 de 2005,4,Relevance,0,gray(0),5.556041,7.0785713
Ley 1004 de 2005,5,Relevance,1,color(1),2.3403065,7.096698
Ley 105 de 1958,4,Relevance,0,gray(0),4.142393,7.509725
Ley 105 de 1958,5,Relevance,0,gray(0),3.3461576,4.3085423
Ley 105 de 1958,6,Relevance,0,gray(0),3.3978384,6.524804
Ley 105 de 1958,7,Relevance,0,gray(0),2.2832413,6.1737084
Ley 105 de 1958,8,Relevance,0,gray(0),2.0956624,5.921865
Ley 105 de 1958,12,Relevance,0,gray(0),2.785397,5.1210594
Ley 105 de 1958,14,Relevance,0,gray(0),2.0223374,4.966316
Ley 105 de 1958,15,Relevance,0,gray(0),3.1957638,6.169375
Ley 105 de 1958,23,Relevance,1,color(1),4.400985,7.2164583
Ley 105 de 1958,37,Relevance,1,color(1),5.380482,7.45236
Ley 47 de 1981,3,Relevance,0,gray(0),5.0990877,5.150036
Ley 47 de 1981,4,Relevance,0,gray(0),5.6180844,5.7643695
Ley 47 de 1981,5,Relevance,0,gray(0),5.2597585,5.217231
Ley 47 de 1981,12,Relevance,0,gray(0),2.84229,5.168891
Ley 47 de 1981,13,Relevance,0,gray(0),3.2070017,4.7838974
Ley 47 de 1981,14,Relevance,0,gray(0),3.437668,5.246118
Ley 47 de 1981,17,Relevance,0,gray(0),5.0579634,4.4840727
Ley 47 de 1981,20,Relevance,0,gray(0),6.5782814,5.873184
Ley 47 de 1981,24,Relevance,1,color(1),5.710839,7.664652
Ley 47 de 1981,29,Relevance,1,color(1),5.4966555,8.197486
Ley 47 de 1981,40,Relevance,1,color(1),5.499213,5.415394
Ley 47 de 1981,42,Relevance,1,color(1),4.5463676,4.0701523
Ley 47 de 1981,44,Relevance,1,color(1),4.162978,3.5757823
Ley 47 de 1981,62,Relevance,0,gray(0),4.4114656,3.9859107
Ley 47 de 1981,63,Relevance,0,gray(0),3.4312706,4.2320395
Ley 47 de 1981,64,Relevance,0,gray(0),4.9162936,3.9095428
Ley 47 de 1981,75,Relevance,0,gray(0),4.897669,5.537173
Ley 109 de 1985,2,Relevance,0,gray(0),4.2407107,7.0042195
Ley 109 de 1985,4,Relevance,0,gray(0),4.9106836,4.908576
Ley 109 de 1985,12,Relevance,1,color(1),3.8320866,4.3418636
Ley 109 de 1985,17,Relevance,1,color(1),4.57103,4.1623554
Ley 109 de 1985,18,Relevance,0,gray(0),4.500176,7.449625
Ley 109 de 1985,23,Relevance,0,gray(0),3.139789,5.0492563
Ley 109 de 1985,27,Relevance,0,gray(0),2.8295302,6.9082084
Ley 109 de 1985,29,Relevance,0,gray(0),6.1258674,5.4536405
Ley 109 de 1985,36,Relevance,0,gray(0),5.3048363,4.0201287
Ley 109 de 1985,37,Relevance,0,gray(0),3.988028,5.0553856
Ley 1004 de 2005,11,Relevance,0,gray(0),2.8272262,7.398744
Ley 105 de 1958,13,Relevance,0,gray(0),1.816444,5.213311
Ley 105 de 1958,16,Relevance,0,gray(0),3.433728,6.316868
Ley 105 de 1958,39,Relevance,0,gray(0),2.0458946,6.3851585
Ley 47 de 1981,1,Relevance,0,gray(0),1.7088457,6.5376353
Ley 47 de 1981,9,Relevance,0,gray(0),4.512443,4.9079547
Ley 47 de 1981,18,Relevance,0,gray(0),5.2390275,5.7788253
Ley 47 de 1981,21,Relevance,0,gray(0),3.5457587,5.3108053
Ley 47 de 1981,23,Relevance,0,gray(0),2.7909324,5.797719
Ley 47 de 1981,72,Relevance,0,gray(0),5.6030736,5.5041614
Ley 47 de 1981,76,Relevance,0,gray(0),2.621671,6.2560983
Ley 109 de 1985,1,Relevance,0,gray(0),3.9037967,5.4108996
Ley 109 de 1985,3,Relevance,0,gray(0),4.2583733,5.049735
Ley 109 de 1985,19,Relevance,0,gray(0),4.0470877,5.05753
Ley 109 de 1985,20,Relevance,0,gray(0),2.689442,5.859651
Ley 109 de 1985,24,Relevance,0,gray(0),3.7162101,5.083763
Ley 109 de 1985,25,Relevance,0,gray(0),1.9710703,5.485983
Ley 109 de 1985,31,Relevance,0,gray(0),5.0345464,5.6217175
Ley 109 de 1985,40,Relevance,0,gray(0),4.024964,5.295496
Ley 109 de 1985,41,Relevance,0,gray(0),2.4508991,6.3390055
Ley 1004 de 2005,6,Relevance,0,gray(0),3.2956438,7.6702895
Ley 1004 de 2005,13,Relevance,0,gray(0),2.5275526,6.4506993
