Law,Article,target,target_value,group,umap_x,umap_y,rule
Ley 105 de 1958,11,Interpretability,3,color(2/3),2.3190186,5.311217,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,19,Interpretability,3,color(2/3),1.6605331,6.610831,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,20,Interpretability,3,color(2/3),6.2739906,6.718183,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,24,Interpretability,3,color(2/3),1.8115454,6.666762,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,25,Interpretability,2,color(2/3),5.13217,8.378471,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,26,Interpretability,2,color(2/3),4.993965,8.089772,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,29,Interpretability,3,color(2/3),4.683045,7.300403,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,38,Interpretability,3,color(2/3),5.7083216,7.3109775,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,22,Interpretability,2,color(2/3),5.187154,5.6495585,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,25,Interpretability,2,color(2/3),5.849122,7.509543,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,33,Interpretability,3,color(2/3),6.00219,4.9274793,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,36,Interpretability,3,color(2/3),5.040161,6.1755066,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,41,Interpretability,2,color(2/3),4.4180245,6.9163604,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,43,Interpretability,3,color(2/3),3.7987516,4.0344586,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,59,Interpretability,3,color(2/3),4.155137,7.8708725,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,66,Interpretability,3,color(2/3),1.447426,6.4728546,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,67,Interpretability,3,color(2/3),1.4824681,6.301975,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,71,Interpretability,3,color(2/3),5.028796,6.4722443,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,7,Interpretability,3,color(2/3),4.930908,5.3131638,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,15,Interpretability,2,color(2/3),3.7182827,6.975241,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,16,Interpretability,3,color(2/3),4.9017963,7.2358274,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,3,Interpretability,3,color(2/3),6.5712767,6.6265984,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,7,Interpretability,2,color(2/3),3.826446,7.8166,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,8,Interpretability,2,color(2/3),2.662262,7.5450516,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,3,Interpretability,3,color(2/3),6.267308,5.6041822,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,17,Interpretability,3,color(2/3),2.2688692,6.6536655,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,21,Interpretability,3,color(2/3),6.5928183,6.6322913,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,30,Interpretability,2,color(2/3),6.0018544,7.515271,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,34,Interpretability,2,color(2/3),5.5665517,7.6161494,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,6,Interpretability,2,color(2/3),5.4378786,5.834909,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,8,Interpretability,3,color(2/3),3.1020024,4.456535,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,26,Interpretability,2,color(2/3),5.876003,6.6958213,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,27,Interpretability,1,gray(0/1),5.0304165,7.815678,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,34,Interpretability,3,color(2/3),5.674386,8.144823,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,39,Interpretability,1,gray(0/1),5.407549,8.149581,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,45,Interpretability,1,gray(0/1),4.012611,3.9845784,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,48,Interpretability,1,gray(0/1),5.3461547,4.307919,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,61,Interpretability,2,color(2/3),4.1161547,4.111014,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,69,Interpretability,1,gray(0/1),4.3421273,5.578589,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,74,Interpretability,3,color(2/3),4.970199,4.4066234,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,8,Interpretability,1,gray(0/1),4.5381227,5.8643193,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,9,Interpretability,1,gray(0/1),1.7123109,6.585607,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,14,Interpretability,2,color(2/3),4.323407,4.5930285,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,22,Interpretability,2,color(2/3),2.1393526,6.29583,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,26,Interpretability,3,color(2/3),1.6080948,6.005498,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,28,Interpretability,3,color(2/3),4.8872523,4.6644764,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,35,Interpretability,3,color(2/3),6.0927086,6.172556,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,39,Interpretability,3,color(2/3),5.229068,5.093038,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,1,Interpretability,2,color(2/3),5.29102,7.2748766,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,2,Interpretability,3,color(2/3),5.6997757,4.724359,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,9,Interpretability,3,color(2/3),3.6295815,7.7122893,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,1,Interpretability,1,gray(0/1),1.9173719,6.437555,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,2,Interpretability,2,color(2/3),6.193125,5.511243,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,9,Interpretability,1,gray(0/1),2.033476,5.8734674,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,10,Interpretability,3,color(2/3),2.6479409,5.263191,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,18,Interpretability,2,color(2/3),3.340547,5.684335,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,28,Interpretability,2,color(2/3),3.9773602,7.354228,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,31,Interpretability,1,gray(0/1),5.7964816,6.511912,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,32,Interpretability,2,color(2/3),4.527193,6.72381,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,33,Interpretability,1,gray(0/1),4.5158978,6.354944,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,2,Interpretability,1,gray(0/1),5.824207,4.710261,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,7,Interpretability,1,gray(0/1),4.7934623,7.7665668,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,10,Interpretability,2,color(2/3),2.606993,5.5433793,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,11,Interpretability,2,color(2/3),2.7568626,4.8353405,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,15,Interpretability,2,color(2/3),1.9009099,5.1409087,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,16,Interpretability,2,color(2/3),2.5840733,6.8062854,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,19,Interpretability,2,color(2/3),6.462855,6.4774933,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,30,Interpretability,2,color(2/3),5.6060505,8.468944,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,31,Interpretability,1,gray(0/1),5.569501,6.1629186,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,46,Interpretability,1,gray(0/1),2.1037414,5.6455903,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,49,Interpretability,1,gray(0/1),4.2000966,3.5211952,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,51,Interpretability,1,gray(0/1),4.4337497,3.702082,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,52,Interpretability,1,gray(0/1),1.9361866,6.0065737,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,54,Interpretability,1,gray(0/1),4.289449,3.444291,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,55,Interpretability,1,gray(0/1),4.0929995,3.7947137,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,56,Interpretability,1,gray(0/1),5.38775,4.9853077,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,58,Interpretability,1,gray(0/1),4.2918706,3.6728508,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,60,Interpretability,1,gray(0/1),5.5923176,7.8455057,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,68,Interpretability,1,gray(0/1),4.030289,6.091046,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,70,Interpretability,3,color(2/3),6.0790462,6.436895,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,73,Interpretability,1,gray(0/1),2.7108564,5.640467,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,5,Interpretability,3,color(2/3),5.9877124,5.2784367,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,6,Interpretability,3,color(2/3),5.8850517,5.059792,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,10,Interpretability,1,gray(0/1),4.2971983,5.660659,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,11,Interpretability,2,color(2/3),4.1516376,4.7392087,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,21,Interpretability,1,gray(0/1),2.0179827,6.2772503,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,30,Interpretability,3,color(2/3),6.412586,5.646354,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,32,Interpretability,3,color(2/3),3.5836806,4.7193127,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,33,Interpretability,3,color(2/3),6.46024,6.267152,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,4,Interpretability,1,gray(0/1),5.556041,7.0785713,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,5,Interpretability,1,gray(0/1),2.3403065,7.096698,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,4,Interpretability,1,gray(0/1),4.142393,7.509725,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,5,Interpretability,2,color(2/3),3.3461576,4.3085423,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,6,Interpretability,1,gray(0/1),3.3978384,6.524804,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,7,Interpretability,1,gray(0/1),2.2832413,6.1737084,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,8,Interpretability,1,gray(0/1),2.0956624,5.921865,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,12,Interpretability,1,gray(0/1),2.785397,5.1210594,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,14,Interpretability,1,gray(0/1),2.0223374,4.966316,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,15,Interpretability,1,gray(0/1),3.1957638,6.169375,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,23,Interpretability,1,gray(0/1),4.400985,7.2164583,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,37,Interpretability,1,gray(0/1),5.380482,7.45236,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,3,Interpretability,2,color(2/3),5.0990877,5.150036,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,4,Interpretability,1,gray(0/1),5.6180844,5.7643695,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,5,Interpretability,2,color(2/3),5.2597585,5.217231,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,12,Interpretability,1,gray(0/1),2.84229,5.168891,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,13,Interpretability,1,gray(0/1),3.2070017,4.7838974,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,14,Interpretability,1,gray(0/1),3.437668,5.246118,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,17,Interpretability,1,gray(0/1),5.0579634,4.4840727,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,20,Interpretability,1,gray(0/1),6.5782814,5.873184,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,24,Interpretability,1,gray(0/1),5.710839,7.664652,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,29,Interpretability,1,gray(0/1),5.4966555,8.197486,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,40,Interpretability,1,gray(0/1),5.499213,5.415394,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,42,Interpretability,1,gray(0/1),4.5463676,4.0701523,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,44,Interpretability,1,gray(0/1),4.162978,3.5757823,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,62,Interpretability,1,gray(0/1),4.4114656,3.9859107,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,63,Interpretability,1,gray(0/1),3.4312706,4.2320395,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,64,Interpretability,1,gray(0/1),4.9162936,3.9095428,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,75,Interpretability,2,color(2/3),4.897669,5.537173,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,2,Interpretability,1,gray(0/1),4.2407107,7.0042195,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,4,Interpretability,2,color(2/3),4.9106836,4.908576,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,12,Interpretability,1,gray(0/1),3.8320866,4.3418636,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,17,Interpretability,1,gray(0/1),4.57103,4.1623554,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,18,Interpretability,1,gray(0/1),4.500176,7.449625,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,23,Interpretability,1,gray(0/1),3.139789,5.0492563,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,27,Interpretability,2,color(2/3),2.8295302,6.9082084,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,29,Interpretability,1,gray(0/1),6.1258674,5.4536405,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,36,Interpretability,1,gray(0/1),5.3048363,4.0201287,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,37,Interpretability,2,color(2/3),3.988028,5.0553856,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,11,Interpretability,1,gray(0/1),2.8272262,7.398744,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,13,Interpretability,1,gray(0/1),1.816444,5.213311,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,16,Interpretability,1,gray(0/1),3.433728,6.316868,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,39,Interpretability,1,gray(0/1),2.0458946,6.3851585,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,1,Interpretability,1,gray(0/1),1.7088457,6.5376353,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,9,Interpretability,1,gray(0/1),4.512443,4.9079547,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,18,Interpretability,1,gray(0/1),5.2390275,5.7788253,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,21,Interpretability,1,gray(0/1),3.5457587,5.3108053,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,23,Interpretability,1,gray(0/1),2.7909324,5.797719,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,72,Interpretability,1,gray(0/1),5.6030736,5.5041614,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,76,Interpretability,1,gray(0/1),2.621671,6.2560983,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,1,Interpretability,1,gray(0/1),3.9037967,5.4108996,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,3,Interpretability,1,gray(0/1),4.2583733,5.049735,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,19,Interpretability,1,gray(0/1),4.0470877,5.05753,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,20,Interpretability,1,gray(0/1),2.689442,5.859651,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,24,Interpretability,1,gray(0/1),3.7162101,5.083763,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,25,Interpretability,1,gray(0/1),1.9710703,5.485983,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,31,Interpretability,1,gray(0/1),5.0345464,5.6217175,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,40,Interpretability,1,gray(0/1),4.024964,5.295496,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,41,Interpretability,1,gray(0/1),2.4508991,6.3390055,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,6,Interpretability,1,gray(0/1),3.2956438,7.6702895,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,13,Interpretability,1,gray(0/1),2.5275526,6.4506993,"multi: gray=0/1, color=2/3"
