id,Law,Article,split,target
Ley 47 de 1981__2,Ley 47 de 1981,2,train,Differential Regime
Ley 105 de 1958__25,Ley 105 de 1958,25,train,Differential Regime
Ley 109 de 1985__1,Ley 109 de 1985,1,train,Differential Regime
Ley 105 de 1958__23,Ley 105 de 1958,23,train,Differential Regime
Ley 47 de 1981__52,Ley 47 de 1981,52,train,Differential Regime
Ley 105 de 1958__18,Ley 105 de 1958,18,train,Differential Regime
Ley 105 de 1958__6,Ley 105 de 1958,6,train,Differential Regime
Ley 47 de 1981__60,Ley 47 de 1981,60,train,Differential Regime
Ley 105 de 1958__38,Ley 105 de 1958,38,train,Differential Regime
Ley 105 de 1958__5,Ley 105 de 1958,5,train,Differential Regime
Ley 109 de 1985__33,Ley 109 de 1985,33,train,Differential Regime
Ley 47 de 1981__43,Ley 47 de 1981,43,train,Differential Regime
Ley 105 de 1958__16,Ley 105 de 1958,16,train,Differential Regime
Ley 105 de 1958__37,Ley 105 de 1958,37,train,Differential Regime
Ley 47 de 1981__74,Ley 47 de 1981,74,train,Differential Regime
Ley 47 de 1981__67,Ley 47 de 1981,67,train,Differential Regime
Ley 47 de 1981__31,Ley 47 de 1981,31,train,Differential Regime
Ley 47 de 1981__21,Ley 47 de 1981,21,train,Differential Regime
Ley 47 de 1981__3,Ley 47 de 1981,3,train,Differential Regime
Ley 47 de 1981__17,Ley 47 de 1981,17,train,Differential Regime
Ley 105 de 1958__4,Ley 105 de 1958,4,train,Differential Regime
Ley 109 de 1985__30,Ley 109 de 1985,30,train,Differential Regime
Ley 47 de 1981__36,Ley 47 de 1981,36,train,Differential Regime
Ley 105 de 1958__14,Ley 105 de 1958,14,train,Differential Regime
Ley 47 de 1981__6,Ley 47 de 1981,6,train,Differential Regime
Ley 1004 de 2005__9,Ley 1004 de 2005,9,train,Differential Regime
Ley 47 de 1981__51,Ley 47 de 1981,51,train,Differential Regime
Ley 105 de 1958__30,Ley 105 de 1958,30,train,Differential Regime
Ley 105 de 1958__20,Ley 105 de 1958,20,train,Differential Regime
Ley 105 de 1958__33,Ley 105 de 1958,33,train,Differential Regime
Ley 105 de 1958__2,Ley 105 de 1958,2,train,Differential Regime
Ley 105 de 1958__7,Ley 105 de 1958,7,train,Differential Regime
Ley 47 de 1981__12,Ley 47 de 1981,12,train,Differential Regime
Ley 109 de 1985__27,Ley 109 de 1985,27,train,Differential Regime
Ley 1004 de 2005__3,Ley 1004 de 2005,3,train,Differential Regime
Ley 47 de 1981__15,Ley 47 de 1981,15,train,Differential Regime
Ley 47 de 1981__65,Ley 47 de 1981,65,train,Differential Regime
Ley 1004 de 2005__13,Ley 1004 de 2005,13,train,Differential Regime
Ley 47 de 1981__13,Ley 47 de 1981,13,train,Differential Regime
Ley 47 de 1981__62,Ley 47 de 1981,62,train,Differential Regime
Ley 47 de 1981__71,Ley 47 de 1981,71,train,Differential Regime
Ley 47 de 1981__10,Ley 47 de 1981,10,train,Differential Regime
Ley 1004 de 2005__4,Ley 1004 de 2005,4,train,Differential Regime
Ley 109 de 1985__10,Ley 109 de 1985,10,train,Differential Regime
Ley 47 de 1981__18,Ley 47 de 1981,18,train,Differential Regime
Ley 109 de 1985__31,Ley 109 de 1985,31,train,Differential Regime
Ley 47 de 1981__63,Ley 47 de 1981,63,train,Differential Regime
Ley 47 de 1981__47,Ley 47 de 1981,47,train,Differential Regime
Ley 109 de 1985__2,Ley 109 de 1985,2,train,Differential Regime
Ley 47 de 1981__39,Ley 47 de 1981,39,train,Differential Regime
Ley 47 de 1981__8,Ley 47 de 1981,8,train,Differential Regime
Ley 105 de 1958__1,Ley 105 de 1958,1,train,Differential Regime
Ley 1004 de 2005__6,Ley 1004 de 2005,6,train,Differential Regime
Ley 47 de 1981__49,Ley 47 de 1981,49,train,Differential Regime
Ley 105 de 1958__13,Ley 105 de 1958,13,train,Differential Regime
Ley 105 de 1958__9,Ley 105 de 1958,9,train,Differential Regime
Ley 47 de 1981__58,Ley 47 de 1981,58,train,Differential Regime
Ley 109 de 1985__38,Ley 109 de 1985,38,train,Differential Regime
Ley 47 de 1981__73,Ley 47 de 1981,73,train,Differential Regime
Ley 109 de 1985__26,Ley 109 de 1985,26,train,Differential Regime
Ley 109 de 1985__13,Ley 109 de 1985,13,train,Differential Regime
Ley 47 de 1981__41,Ley 47 de 1981,41,train,Differential Regime
Ley 105 de 1958__26,Ley 105 de 1958,26,train,Differential Regime
Ley 47 de 1981__75,Ley 47 de 1981,75,train,Differential Regime
Ley 105 de 1958__29,Ley 105 de 1958,29,train,Differential Regime
Ley 109 de 1985__20,Ley 109 de 1985,20,train,Differential Regime
Ley 1004 de 2005__10,Ley 1004 de 2005,10,train,Differential Regime
Ley 109 de 1985__35,Ley 109 de 1985,35,train,Differential Regime
Ley 47 de 1981__68,Ley 47 de 1981,68,train,Differential Regime
Ley 105 de 1958__35,Ley 105 de 1958,35,train,Differential Regime
Ley 105 de 1958__39,Ley 105 de 1958,39,train,Differential Regime
Ley 109 de 1985__5,Ley 109 de 1985,5,train,Differential Regime
Ley 47 de 1981__11,Ley 47 de 1981,11,train,Differential Regime
Ley 109 de 1985__28,Ley 109 de 1985,28,train,Differential Regime
Ley 47 de 1981__61,Ley 47 de 1981,61,train,Differential Regime
Ley 47 de 1981__20,Ley 47 de 1981,20,train,Differential Regime
Ley 109 de 1985__18,Ley 109 de 1985,18,train,Differential Regime
Ley 109 de 1985__39,Ley 109 de 1985,39,train,Differential Regime
Ley 47 de 1981__69,Ley 47 de 1981,69,train,Differential Regime
Ley 47 de 1981__72,Ley 47 de 1981,72,train,Differential Regime
Ley 47 de 1981__55,Ley 47 de 1981,55,train,Differential Regime
Ley 109 de 1985__6,Ley 109 de 1985,6,train,Differential Regime
Ley 47 de 1981__1,Ley 47 de 1981,1,train,Differential Regime
Ley 105 de 1958__22,Ley 105 de 1958,22,train,Differential Regime
Ley 105 de 1958__24,Ley 105 de 1958,24,train,Differential Regime
Ley 47 de 1981__56,Ley 47 de 1981,56,train,Differential Regime
Ley 109 de 1985__40,Ley 109 de 1985,40,train,Differential Regime
Ley 1004 de 2005__5,Ley 1004 de 2005,5,train,Differential Regime
Ley 47 de 1981__64,Ley 47 de 1981,64,train,Differential Regime
Ley 47 de 1981__70,Ley 47 de 1981,70,train,Differential Regime
Ley 47 de 1981__44,Ley 47 de 1981,44,train,Differential Regime
Ley 109 de 1985__14,Ley 109 de 1985,14,train,Differential Regime
Ley 109 de 1985__16,Ley 109 de 1985,16,train,Differential Regime
Ley 47 de 1981__27,Ley 47 de 1981,27,train,Differential Regime
Ley 47 de 1981__54,Ley 47 de 1981,54,train,Differential Regime
Ley 1004 de 2005__12,Ley 1004 de 2005,12,train,Differential Regime
Ley 109 de 1985__15,Ley 109 de 1985,15,train,Differential Regime
Ley 47 de 1981__28,Ley 47 de 1981,28,train,Differential Regime
Ley 109 de 1985__17,Ley 109 de 1985,17,train,Differential Regime
Ley 109 de 1985__22,Ley 109 de 1985,22,train,Differential Regime
Ley 47 de 1981__19,Ley 47 de 1981,19,train,Differential Regime
Ley 47 de 1981__29,Ley 47 de 1981,29,train,Differential Regime
Ley 105 de 1958__21,Ley 105 de 1958,21,train,Differential Regime
Ley 1004 de 2005__8,Ley 1004 de 2005,8,train,Differential Regime
Ley 1004 de 2005__11,Ley 1004 de 2005,11,train,Differential Regime
Ley 47 de 1981__40,Ley 47 de 1981,40,train,Differential Regime
Ley 47 de 1981__66,Ley 47 de 1981,66,train,Differential Regime
